name,rating,address,category,review_count,url,id
The High Line,4.6,"820 Washington St, New York, NY 10014",Parks,2620,https://www.yelp.com/biz/the-high-line-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,JION8hhg7q6zyayHYwhxIw
Poster House,4.6,"119 W 23rd St, New York, NY 10011","Art Museums, Art Galleries",55,https://www.yelp.com/biz/poster-house-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,bFg9sE5jaQuscKh67p1akA
China Visa Service Center,4.6,"60 E 42nd St, Ste 106-107, New York, NY 10165",Passport & Visa Services,41,https://www.yelp.com/biz/china-visa-service-center-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,5X1FVN_dUIeqcoVkt6YB4Q
Irish Hunger Memorial,4.5,"75 Battery Place, New York, NY 10282",Museums,68,https://www.yelp.com/biz/irish-hunger-memorial-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,ijz90jCzwMu0ckk2HPUT1w
New York Food Tours,4.5,"295 Broome St, Ste 12, New York, NY 10002",Food Tours,35,https://www.yelp.com/biz/new-york-food-tours-new-york-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,zU5KqbjYHTkLMU0NqFXkgg
The New York Chinese Scholar's Garden,4.5,"1000 Richmond Ter, Staten Island, NY 10301",Botanical Gardens,51,https://www.yelp.com/biz/the-new-york-chinese-scholars-garden-staten-island?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,MZPlmRfoWs3JG6KEyxDi0Q
Bow Bridge,4.5,"Central Park, New York, NY 10021",Landmarks & Historical Buildings,19,https://www.yelp.com/biz/bow-bridge-new-york-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,35MPW2HA6o10zFiR4nPfhA
Merchant's House Museum,4.5,"29 E 4th St, New York, NY 10003","Museums, Landmarks & Historical Buildings, Historical Tours",97,https://www.yelp.com/biz/merchants-house-museum-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,6ApsVrT9_x-zLxjtfdVIGw
Brooklyn Botanic Garden,4.5,"990 Washington Ave, Brooklyn, NY 11225",Botanical Gardens,1090,https://www.yelp.com/biz/brooklyn-botanic-garden-brooklyn-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,IMA18MENFeqdZc5YVh8njg
Great Jones Distilling,4.5,"686 Broadway, New York, NY 10012","Distilleries, Beer, Wine & Spirits, Tours",151,https://www.yelp.com/biz/great-jones-distilling-new-york-5?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,6ZohjXyp0I1xTLeYKXsUXA
